student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,drug_use,focus_index,burnout_level,productivity_score,exam_score
1524,,,,,5.16,,,0.54,7.26,,,,,,,,,,,,
1525,22.0,Female,Undergraduate,5.17,2.93,2.22,0.48,1.51,7.38,6.71,80.0,122.0,yes,1.0,Poor,8.0,,40.27,49.2,51.12,31.87
1526,24.0,Female,Undergraduate,2.59,2.72,3.26,1.23,0.81,6.82,6.03,41.0,253.0,Yes,0.0,Good,7.0,,26.97,49.7,29.91,10.2
1527,25.0,Female,High School,4.62,1.93,4.47,1.62,0.95,4.93,9.85,58.0 min,162.0,Yes,1.0,Average,9.0,,36.83,78.08,30.02,10.48
1528,19.0,Female,Undergraduate,4.35,2.27,2.27,4.04,0.05,8.99,6.7,51.0,42.0,Yes,1.0,Average,5.0,,26.03,42.0,37.94,15.43
1529,25.0,Male,High School,4.7,4.24,1.93,,0.98,,,12.0,79.0,,,Poor,10.0,0.0,45.02,,52.72,28.96
1530,22.0,Other,Undergraduate,,3.4,,,2.29,6.62,8.59,126.0,473.0,No,0.0,Poor,2.0,,40.15,36.09,56.71,39.82
1531,17.0,Male,Postgraduate,2.59,1.83,1.88,3.73,1.49,6.38,5.86,129.0,36.0,yes,1.0,Good,6.0,0.0,19.37,45.93,9.76,2.34
1532,,,,,,,,1.62,,,,,,,,,0.0,,,,
1533,21.0,Male,Undergraduate,8.17,1.31,1.71,1.9,1.1,5.97,5.5,114.0,431.0,Yes,1.0,Poor,4.0,,40.03,57.21,49.75,30.61
1534,23.0,Male,High School,7.31,2.94,2.65,3.26,1.59,6.08,8.53,77.0,245.0,Yes,1.0,Poor,3.0,,30.06,75.08,42.2,18.18
1535,,,,,,2.79,,0.68,,,,297.0,,,,,,,,,
1536,24.0,Male,Postgraduate,3.43,0.63,2.72,2.82,2.72,6.17,6.54,119.0 min,197.0,No,0.0,Average,9.0,,27.17,21.65,48.85,23.31
1537,22.0,Female,Undergraduate,6.88,2.78,1.29,4.11,0.4,5.54,3.55,,266.0,,0.0,Average,6.0,,34.52,50.62,50.16,26.66
1538,23.0,Female,Postgraduate,,3.99,0.15,3.33,0.0,6.38,4.96,73.0,468.0,Yes,1.0,Average,7.0,,29.54,68.9,33.26,2.01
1539,21.0,Other,Undergraduate,8.02,2.72,3.26,,,6.2,9.49,4.0,288.0,Yes,0.0,Good,5.0,1.0,33.33,58.05,50.56,24.08
1540,,,,,,,,,8.07,,,,,,,,,,,,
1541,16.0,Female,Undergraduate,3.61,2.84,2.97,3.24,0.94,7.7,3.76,77.0,306.0,Yes,0.0,Good,5.0,1.0,33.34,31.39,37.54,21.13
1542,17.0,Other,Postgraduate,5.16,3.77,1.02,3.9,0.28,5.17,11.11,92.0,154.0,No,0.0,Good,4.0,1.0,27.27,45.48,21.58,9.13
1543,18.0,Male,Postgraduate,4.58,1.58,2.33,4.47,2.7,7.05,5.57,112.0 min,216.0,yes,1.0,Poor,2.0,1.0,8.02,54.09,13.16,1.78
1544,,,,,,,,,,,116.0,,no,,Poor,,,,,67.6,38.47
1545,25.0,Other,Undergraduate,1.52,0.92,2.23,1.58,1.41,6.9,7.06,118.0,475.0,yes,1.0,Average,4.0,,10.79,62.42,1.55,1.0
1546,25.0,Female,Postgraduate ,2.77,3.39,1.97,3.44,0.08,7.68,6.63,113.0,81.0,Yes,1.0,Average,5.0,,21.75,44.39,18.4,8.08
1547,22.0,Other,Postgraduate,5.98,1.9,2.02,3.51,0.0,5.85,4.13,93.0,123.0,Yes,0.0,Poor,10.0,,43.54,47.89,63.74,36.75
1548,23.0,Male,Postgraduate,6.64,2.38,2.09,0.85,2.64,6.88,6.65,111.0,199.0,No,1.0,Good,7.0,1.0,37.87,47.21,54.62,33.77
1549,,,,,,,,,6.31,,,,,,,7.0,,,,,13.59
1550,17.0,Female,High School,2.41,2.1,0.6,2.99,0.97,5.99,8.27,107.0,27.0,Yes,0.0,Average,8.0,,26.35,46.46,32.95,15.81
1551,17.0,Male,Postgraduate,3.25,0.67,1.88,0.7,0.99,6.66,5.62,107.0,204.0,No,0.0,Good,10.0,,35.14,45.01,51.21,22.2
1552,,Other,Postgraduate,,2.94,1.8,1.55,0.48,6.77,5.12,126.0,319.0,,1.0,Good,,1.0,27.21,58.13,16.35,5.69
1553,,,,3.1,,,3.7,,,6.06,,,,,,,,,,,28.95
1554,18.0,Male,Postgraduate,2.77,3.01,1.63,0.67,1.51,8.97,6.15,6.0,198.0,yes,0.0,Poor,2.0,,26.23,27.13,27.39,7.37
1555,18.0,Male,High School,2.28,3.05,1.89,2.23,0.0,6.48,6.68,143.0,460.0,No,1.0,Good,6.0,,28.53,58.13,29.88,15.01
1556,19.0,Female,High School,0.0,4.44,1.49,1.76,1.1,4.87,8.29,47.0,312.0,Yes,0.0,Poor,8.0,,23.75,57.5,16.92,8.04
1557,16.0,Female,High School ,4.36,2.23,0.4,1.44,0.48,8.18,8.78,99.0,327.0,No,1.0,Poor,,,18.99,,13.58,1.0
1558,,Male,Postgraduate ,1.74,5.35,1.24,4.33,,7.2,6.31,107.0,352.0,No,0.0,Good,2.0,,,25.81,15.23,4.93
1559,18.0,Male,Postgraduate,3.24,2.87,0.0,3.47,2.15,7.8,2.94,101.0,344.0,Yes,0.0,Poor,7.0,,31.72,25.4,36.53,29.12
1560,20.0,Female,Undergraduate,3.98,2.58,3.2,3.99,1.85,6.04,7.13,83.0,60.0,No,0.0,Average,1.0,,14.25,43.0,10.55,6.59
1561,,Male,Postgraduate ,4.05,,2.56,3.26,2.95,6.21,7.46,63.0,137.0,Yes,1.0,Poor,3.0,,22.02,59.07,20.52,2.84
1562,23.0,Male,Undergraduate,4.06,2.07,0.78,2.81,2.16,7.53,4.74,26.0,246.0,no,0.0,Poor,7.0,1.0,23.51,38.46,47.9,31.23
1563,,,,,,,,,,1.82,95.0,,No,1.0,,,,,33.78,,
1564,,Female,,,,,,,,,,222.0,,,,,,,,,
1565,19.0,Male,High School,5.73,0.05,2.01,2.25,0.0,9.84,5.33,117.0,277.0,No,1.0,Poor,10.0,,40.16,24.97,63.59,44.64
1566,19.0,Male,Undergraduate,1.4,1.4,0.67,3.07,0.77,6.63,6.37,37.0,199.0,Yes,1.0,Average,9.0,,28.51,66.45,22.13,8.21
1567,17.0,Other,High School,2.48,3.52,0.83,5.1,1.16,7.76,7.98,139.0,287.0,Yes,0.0,Average,2.0,,13.63,43.52,19.25,1.0
1568,21.0,Male,Postgraduate,3.97,2.58,2.81,2.17,2.04,6.93,10.3,12.0,112.0,no,1.0,Average,10.0,,42.38,54.85,42.92,22.71
1569,17.0,Male,High School,5.6,3.25,2.44,3.57,1.46,6.63,8.94,111.0,52.0,no,1.0,Poor,9.0,1.0,36.44,41.64,54.37,30.33
1570,17.0,Female,Postgraduate,6.53,4.39,0.85,4.63,0.0,8.47,1.0,117.0,170.0,Yes,1.0,Poor,5.0,,40.03,28.48,51.32,33.19
1571,25.0,Male,High School,4.76,2.28,1.95,3.88,1.97,7.36,6.79,110.0,56.0,No,1.0,Poor,7.0,,27.2,45.59,31.56,18.32
1572,,,,,,,,,,,,,,,Good,,,,,,
1573,19.0,Male,High School,10.13,1.36,4.45,3.42,0.14,8.37,7.55,95.0,56.0,Yes,0.0,Average,6.0,0.0,43.68,37.44,71.34,45.91
1574,24.0,Female,Postgraduate ,5.56,3.37,1.8,3.23,0.0,7.06,6.24,92.0,306.0,No,1.0,Good,1.0,,24.47,47.94,19.56,7.33
1575,,,,,,,,,,,,,,,,,,,,,
1576,18.0,Other,Undergraduate,3.51,0.16,2.94,3.21,0.0,5.26,5.03,143.0,316.0,yes,0.0,Good,3.0,,25.26,49.91,24.23,17.1
1577,19.0,Female,Postgraduate,5.2,0.51,1.83,2.55,0.77,6.62,8.65,129.0,400.0,No,0.0,Poor,5.0,,25.26,35.18,47.22,14.55
1578,22.0,Other,Postgraduate,4.94,2.33,2.05,2.41,0.88,6.96,5.86,96.0,273.0,Yes,0.0,Good,8.0,,38.57,36.4,55.18,25.78
1579,17.0,Male,High School ,2.86,2.4,2.9,2.96,0.0,6.46,8.74,40.0,273.0,No,1.0,Poor,2.0,1.0,18.42,61.01,2.92,1.0
1580,22.0,Female,Postgraduate ,2.72,2.75,2.13,1.16,0.56,6.45,8.35,43.0,358.0,No,0.0,Poor,5.0,,26.02,43.77,20.53,8.07
1581,21.0,Female,Postgraduate ,4.4,2.61,1.82,1.47,1.11,6.01,1.0,148.0,487.0,no,1.0,Good,8.0,1.0,41.01,37.82,43.89,23.69
1582,25.0,Female,High School,5.81,2.51,1.89,5.99,0.99,7.28,1.0,89.0,102.0,yes,0.0,Poor,3.0,0.0,23.87,21.63,40.5,25.7
1583,22.0,Male,High School,5.12,3.56,1.52,3.05,0.5,8.38,6.61,45.0 min,168.0,Yes,1.0,Average,10.0,0.0,46.89,49.69,,28.77
1584,17.0,Female,Undergraduate,4.42,1.98,2.2,5.59,2.46,8.88,10.15,84.0,129.0,No,1.0,Poor,,,31.28,38.63,47.86,
1585,21.0,Other,Postgraduate,4.03,1.65,2.88,4.16,,9.08,7.65,136.0,84.0,no,1.0,Average,,,,24.74,32.8,25.08
1586,25.0,Male,Postgraduate,5.89,1.44,2.86,1.91,2.75,7.17,7.1,127.0,94.0,yes,0.0,Average,9.0,0.0,35.21,50.48,57.96,44.12
1587,24.0,Male,Postgraduate,3.82,4.48,0.56,3.93,1.49,7.51,5.4,149.0,55.0,No,,Average,1.0,1.0,17.63,,22.74,
1588,16.0,Female,Postgraduate,3.56,4.46,3.82,0.11,1.86,9.37,3.63,122.0,85.0,yes,1.0,Poor,9.0,,38.1,37.82,52.11,31.05
1589,23.0,Male,High School,2.38,2.95,1.27,,2.57,,13.7,137.0 min,160.0,no,0.0,Poor,4.0,,21.1,48.9,21.12,1.0
1590,17.0,Male,Undergraduate,4.33,3.24,,0.98,0.0,6.8,8.81,54.0,454.0,Yes,1.0,Good,9.0,,,78.77,41.91,16.95
1591,25.0,Female,Postgraduate,3.39,2.09,0.65,3.61,0.0,6.78,9.15,42.0,90.0,Yes,0.0,Average,6.0,,23.38,47.07,24.38,6.74
1592,21.0,,,,1.0,,,,,,,,No,,,,1.0,,,,
1593,20.0,Other,Postgraduate,7.84,3.33,,2.56,0.0,6.23,6.95,96.0 min,257.0,Yes,0.0,Poor,8.0,,48.31,45.51,72.91,
1594,23.0,Female,Undergraduate,6.3,1.2,1.42,3.23,0.0,6.4,5.65,44.0,46.0,No,0.0,Average,1.0,,23.08,29.58,39.23,14.44
1595,,,,,,,,,,7.51,,,,,,7.0,,48.87,,,
1596,16.0,Female,Postgraduate,,3.42,1.91,2.2,0.32,,3.99,80.0,360.0,Yes,0.0,Average,9.0,,32.33,48.59,53.97,26.96
1597,22.0,Male,High School,7.93,4.5,1.68,0.0,2.24,7.14,6.11,3.0,155.0,Yes,1.0,Average,10.0,,56.79,62.96,80.98,38.91
1598,20.0,Other,Postgraduate,3.07,1.95,2.4,2.8,0.01,5.05,5.85,145.0,70.0,Yes,1.0,Poor,2.0,,20.46,68.17,9.19,2.32
1599,18.0,Male,Postgraduate,2.62,2.85,3.51,4.64,0.0,7.09,7.86,112.0,60.0,No,0.0,Average,4.0,,12.67,26.38,18.98,11.95
1600,16.0,Female,Undergraduate,5.98,2.54,0.0,2.42,2.75,5.07,10.37,131.0,4.0,No,1.0,Average,4.0,1.0,26.54,55.21,42.78,23.96
1601,,,,,3.33,,,,,,25.0,139.0,,,,,,48.04,,,
1602,25.0,Male,High School,4.45,3.45,0.0,4.18,3.65,7.13,7.11,14.0,341.0,No,1.0,Poor,8.0,,41.18,49.18,65.1,37.83
1603,20.0,Female,Undergraduate,5.54,0.45,3.25,1.19,0.89,7.19,3.08,100.0 min,1.0,No,1.0,Average,4.0,1.0,26.94,27.57,44.68,24.79
1604,19.0,Male,High School,3.16,2.97,0.84,0.57,2.41,9.15,7.17,66.0,491.0,yes,1.0,Average,10.0,,45.83,49.05,48.17,31.94
1605,21.0,Other,Postgraduate ,6.28,1.69,2.97,3.54,2.31,6.51,3.94,49.0 min,289.0,Yes,1.0,Good,1.0,1.0,21.85,60.97,14.22,1.56
1606,21.0,Male,Undergraduate,5.28,3.47,0.57,7.02,1.84,7.65,5.62,,369.0,,1.0,Good,6.0,0.0,25.66,25.72,51.44,
1607,22.0,Male,Postgraduate,0.65,3.45,3.89,3.58,2.25,4.99,3.41,115.0,474.0,Yes,1.0,Good,9.0,,22.12,66.03,28.49,10.56
1608,20.0,Other,High School,7.29,1.69,2.14,1.73,3.47,6.9,4.13,13.0,237.0,Yes,0.0,Poor,3.0,,34.49,34.08,50.86,28.12
1609,23.0,Female,High School,2.82,1.66,2.18,1.63,0.0,7.68,9.8,49.0,53.0,No,0.0,Good,1.0,,22.06,29.09,16.27,10.24
1610,18.0,,Postgraduate,4.99,,,,,,,,14.0,,,,,0.0,,68.63,,
1611,17.0,Other,High School ,2.2,0.99,2.59,2.35,3.31,7.52,6.08,52.0 min,276.0,Yes,0.0,Average,7.0,1.0,27.07,42.82,31.51,15.64
1612,24.0,Female,High School,4.62,2.54,1.13,3.83,0.0,7.47,8.3,138.0,376.0,No,0.0,Good,5.0,,30.28,15.42,48.44,26.73
1613,23.0,Male,Undergraduate,8.42,3.11,2.42,2.29,0.33,5.4,5.02,35.0,404.0,No,0.0,Poor,6.0,,37.59,36.81,60.7,31.08
1614,21.0,Female,Undergraduate,5.43,4.88,2.63,2.17,2.49,6.34,6.49,115.0,88.0,Yes,1.0,Average,2.0,,30.91,57.9,32.2,17.84
1615,16.0,Male,Postgraduate,4.13,4.35,4.23,3.66,3.66,6.59,4.54,54.0,304.0,No,1.0,Poor,5.0,,27.03,51.48,26.32,14.29
1616,19.0,Female,Undergraduate,6.85,2.52,1.38,4.17,3.62,7.87,8.0,69.0,180.0,yes,0.0,Good,6.0,1.0,27.31,41.32,38.31,11.16
1617,20.0,Male,Postgraduate,3.82,2.83,0.06,5.19,2.73,6.55,10.0,63.0,5.0,Yes,0.0,Poor,6.0,,23.37,46.3,32.46,7.47
1618,,,,,,,,,,,,,,0.0,Good,,1.0,,,34.93,17.7
1619,,Female,Postgraduate,5.37,3.92,3.03,2.64,1.11,7.68,7.98,59.0,436.0,No,0.0,Poor,1.0,1.0,30.99,50.85,19.92,15.62
1620,18.0,Female,High School,5.17,0.53,2.72,2.1,0.13,7.56,7.55,130.0,222.0,no,1.0,Good,4.0,,31.55,41.38,45.17,30.48
1621,19.0,Male,Postgraduate,5.52,2.41,0.0,3.91,0.26,8.16,11.43,95.0,306.0,Yes,1.0,Good,6.0,,22.79,69.0,37.09,10.49
1622,24.0,Female,Undergraduate ,3.31,2.38,1.41,0.84,2.42,6.84,4.7,145.0 min,103.0,No,1.0,Poor,2.0,,23.97,40.96,18.35,9.6
1623,21.0,Female,High School,7.16,3.52,1.42,4.19,1.81,5.95,6.0,133.0,259.0,Yes,1.0,Average,6.0,1.0,29.65,59.21,46.11,22.28
1624,18.0,Male,Postgraduate,,1.31,2.14,4.29,2.93,7.66,4.64,137.0,151.0,No,1.0,Good,8.0,,31.29,40.07,43.25,23.27
1625,18.0,Female,High School,2.6,3.72,0.96,2.65,0.71,8.8,7.81,143.0 min,351.0,No,1.0,Good,6.0,,30.47,41.48,32.73,14.91
1626,,Other,Postgraduate,4.74,2.48,3.46,4.9,2.08,7.28,1.34,113.0,,,0.0,Good,10.0,,25.58,31.52,53.43,
1627,25.0,Male,High School,4.79,3.46,0.66,2.81,0.0,5.25,8.78,77.0,372.0,No,1.0,Good,6.0,,15.15,54.99,37.45,6.12
1628,22.0,Male,Postgraduate ,5.22,2.6,3.33,5.01,3.72,8.03,8.1,16.0,219.0,Yes,1.0,Good,7.0,,32.28,65.23,44.12,14.44
1629,19.0,Male,Postgraduate,5.54,0.0,0.94,2.74,0.19,4.9,9.53,29.0,100.0,No,1.0,Good,4.0,,31.29,64.57,36.08,13.85
1630,18.0,Male,High School,1.58,2.9,2.25,2.43,3.37,7.2,8.19,76.0,69.0,No,1.0,Good,4.0,,8.92,44.46,9.32,1.0
1631,23.0,Male,Undergraduate,3.92,1.26,2.16,4.31,1.22,7.33,5.32,62.0,371.0,No,0.0,Good,5.0,,23.1,30.3,25.61,22.03
1632,21.0,Female,Undergraduate,2.5,3.42,2.09,2.4,2.15,7.98,7.56,4.0,396.0,yes,0.0,Average,8.0,1.0,35.56,37.85,31.85,20.01
1633,19.0,Female,Postgraduate,1.93,0.89,1.98,1.35,1.2,8.01,3.13,13.0,479.0,Yes,0.0,Average,5.0,,31.04,37.11,19.8,9.81
1634,24.0,Male,High School,5.79,1.69,,4.85,,7.14,10.62,25.0,277.0,no,1.0,Poor,2.0,,27.25,46.66,33.3,17.16
1635,22.0,Female,High School,1.26,0.54,1.77,1.9,3.09,5.75,4.86,39.0,324.0,No,1.0,Good,2.0,,18.24,50.1,1.0,
1636,22.0,Female,Postgraduate,5.22,4.69,2.59,1.49,1.19,9.07,5.82,20.0,106.0,No,1.0,Good,10.0,1.0,43.95,25.56,73.4,44.89
1637,16.0,Male,High School ,,1.96,2.41,2.1,,6.42,7.52,128.0,249.0,No,1.0,Good,6.0,,,57.22,47.76,22.73
1638,24.0,Other,High School ,7.49,2.91,0.95,3.39,2.35,7.99,8.69,94.0,238.0,Yes,0.0,Good,9.0,1.0,40.76,45.7,69.15,35.34
1639,25.0,Male,Undergraduate,7.01,2.0,0.0,2.26,2.75,6.49,4.54,19.0,274.0,No,0.0,Average,3.0,,30.86,33.31,41.93,16.43
1640,17.0,Male,Postgraduate,8.14,4.04,2.08,3.01,1.81,6.37,10.18,108.0,165.0,No,1.0,Good,8.0,,42.52,42.04,72.16,41.87
1641,24.0,Female,High School ,3.88,3.98,1.85,1.23,2.06,6.69,6.79,0.0 min,58.0,No,1.0,Poor,1.0,,22.29,41.6,20.88,9.83
1642,,,,,2.3,,,,,,,,,,,,,26.19,30.72,,
1643,18.0,Female,Undergraduate,3.72,2.23,0.3,3.15,0.9,7.36,1.0,142.0,328.0,No,0.0,Good,5.0,,19.22,18.79,31.73,21.1
1644,19.0,Male,Postgraduate,2.39,,2.06,4.1,0.0,7.27,5.54,145.0,93.0,No,0.0,Poor,9.0,,24.25,10.37,39.87,29.83
1645,23.0,,Postgraduate,4.57,,3.19,5.23,0.43,8.12,6.96,95.0,458.0,Yes,1.0,Average,5.0,,29.25,,32.78,16.6
1646,22.0,Female,High School,6.84,1.72,1.57,2.44,0.52,7.77,6.94,96.0,203.0,No,1.0,Good,2.0,,30.62,54.02,37.62,22.29
1647,21.0,Female,High School,4.91,1.87,2.53,0.04,2.11,5.49,6.41,1.0,207.0,yes,0.0,Good,9.0,1.0,44.49,52.79,54.11,27.35
1648,17.0,Female,Postgraduate,1.34,3.89,1.44,2.21,0.0,7.18,2.74,37.0,350.0,no,1.0,Average,9.0,1.0,44.05,37.38,39.12,27.32
1649,18.0,Other,Undergraduate,5.68,2.29,2.49,3.35,1.72,7.58,4.19,48.0,214.0,no,1.0,Poor,10.0,,47.39,36.9,60.47,43.23
1650,21.0,Female,Postgraduate,0.85,3.66,1.78,0.39,2.45,8.05,10.61,68.0 min,166.0,Yes,1.0,Average,9.0,0.0,29.29,57.79,15.9,4.49
1651,23.0,Female,Postgraduate ,4.68,3.83,2.01,3.61,1.79,7.95,6.01,116.0,4.0,Yes,0.0,Poor,10.0,,40.1,26.93,52.91,39.16
1652,20.0,Female,Undergraduate,5.04,2.12,1.14,2.02,1.42,7.27,6.31,98.0,435.0,Yes,0.0,Average,9.0,,41.11,46.43,49.46,35.88
1653,16.0,Male,Undergraduate,3.73,2.75,2.15,0.48,0.51,7.54,10.14,74.0,361.0,No,0.0,Good,5.0,,33.75,49.08,19.31,12.52
1654,17.0,Female,Undergraduate,5.51,1.79,0.67,2.46,0.0,7.52,6.8,75.0,425.0,Yes,1.0,Average,5.0,,38.47,51.09,37.7,14.53
1655,16.0,Male,High School ,4.46,2.45,1.29,6.08,1.54,5.38,6.0,86.0,155.0,yes,0.0,Average,4.0,,17.85,45.09,26.22,7.85
1656,23.0,Female,High School,3.54,1.41,1.23,4.4,0.61,7.51,9.92,128.0,383.0,No,1.0,Poor,10.0,,29.85,50.15,43.59,21.31
1657,22.0,Other,High School,4.33,2.08,3.2,2.94,1.36,6.3,5.83,47.0,129.0,Yes,0.0,Poor,6.0,,32.38,44.58,36.26,23.71
1658,24.0,Other,High School,6.53,0.49,1.55,5.88,0.07,8.11,12.73,79.0,269.0,No,0.0,Poor,3.0,1.0,22.65,29.78,50.47,17.88
1659,23.0,Male,Postgraduate,0.21,3.07,2.25,3.59,0.0,8.13,3.14,42.0,427.0,Yes,1.0,Good,6.0,1.0,31.99,45.22,16.72,7.66
1660,23.0,Female,Undergraduate,5.02,2.33,2.89,5.02,3.44,6.81,6.95,29.0 min,434.0,Yes,1.0,Average,3.0,,14.6,65.22,21.41,1.01
1661,21.0,Female,Undergraduate,4.36,3.73,2.7,3.28,1.01,6.89,6.22,147.0,332.0,No,0.0,Average,10.0,1.0,47.8,42.06,52.25,33.63
1662,18.0,Female,Postgraduate,8.27,2.16,0.73,3.16,0.0,5.81,7.09,11.0,196.0,no,1.0,Good,3.0,,35.38,55.77,46.17,9.36
1663,25.0,Female,Postgraduate,1.22,3.58,2.72,1.83,0.0,8.32,5.46,83.0,339.0,Yes,1.0,Good,1.0,,17.31,50.69,1.0,1.0
1664,20.0,Other,Undergraduate,5.18,2.34,0.75,4.19,1.35,6.47,4.86,67.0,216.0,no,1.0,Average,4.0,,19.82,52.48,31.39,6.8
1665,24.0,Female,High School,4.5,2.15,2.96,2.64,2.36,6.01,4.56,128.0,,Yes,,Poor,7.0,,33.44,47.89,53.01,30.75
1666,20.0,Male,High School,7.12,0.64,1.14,1.8,0.8,4.22,10.17,139.0,64.0,no,0.0,Poor,2.0,1.0,24.05,41.73,33.47,10.89
1667,22.0,Female,High School ,6.48,1.43,2.58,1.84,1.78,7.55,8.89,104.0,159.0,no,0.0,Good,1.0,1.0,33.9,31.55,40.01,23.71
1668,22.0,Male,Postgraduate,5.69,0.63,2.19,3.54,0.9,8.35,5.29,22.0,328.0,Yes,0.0,Poor,8.0,,42.58,45.94,52.08,29.76
1669,16.0,Male,High School,5.63,1.94,4.03,4.44,2.82,9.05,9.1,0.0,491.0,Yes,0.0,Poor,10.0,,34.35,47.85,53.76,30.72
1670,24.0,Male,Postgraduate,4.12,4.35,0.72,4.68,0.0,7.38,4.44,12.0,171.0,yes,0.0,Average,5.0,,27.61,36.55,34.26,15.33
1671,18.0,Other,Postgraduate,5.58,4.05,3.26,3.39,1.65,5.96,8.81,83.0,470.0,yes,0.0,Poor,10.0,,43.86,46.93,62.27,35.08
1672,21.0,Male,Postgraduate ,5.6,1.29,4.11,0.0,0.68,,10.47,63.0,276.0,,0.0,Good,9.0,,54.11,40.37,62.88,44.85
1673,16.0,Male,Postgraduate,5.33,3.43,,4.62,,4.98,4.68,94.0,215.0,No,0.0,Good,8.0,1.0,34.37,39.48,55.25,39.73
1674,18.0,Male,Undergraduate,5.6,2.96,2.38,1.86,0.0,8.91,5.51,24.0,460.0,yes,0.0,Poor,3.0,,42.13,41.71,43.27,25.83
1675,17.0,Male,Postgraduate,3.22,2.35,1.36,2.12,1.04,6.54,1.0,4.0,229.0,No,1.0,Poor,4.0,1.0,20.45,29.55,24.18,14.61
1676,,Female,,,,,0.55,,6.24,,31.0,,,,Average,,,23.76,,,
1677,,,,,,,,,,,,,,,Poor,,0.0,35.92,,,
1678,24.0,Other,Postgraduate,2.97,2.61,2.66,2.28,1.39,7.29,7.28,80.0,120.0,Yes,1.0,Good,6.0,,19.38,56.76,21.81,1.0
1679,25.0,Female,Postgraduate ,2.92,4.07,2.22,4.78,3.69,7.57,6.19,47.0,232.0,Yes,0.0,Poor,5.0,1.0,28.52,43.02,27.32,12.39
1680,23.0,Male,Undergraduate,1.93,3.25,1.71,2.23,2.87,5.16,4.7,134.0,169.0,No,1.0,Poor,6.0,,13.48,56.64,14.39,5.66
1681,19.0,Male,High School,7.65,,1.1,2.61,2.1,7.43,4.88,81.0,268.0,no,1.0,Average,2.0,,28.35,41.4,45.9,10.52
1682,18.0,Male,High School,2.88,2.75,2.89,3.69,1.16,5.93,7.69,146.0,102.0,no,1.0,Poor,10.0,,38.99,40.59,40.98,29.85
1683,22.0,Female,High School,3.93,2.62,2.38,3.39,3.99,7.26,7.97,70.0,205.0,Yes,0.0,Average,5.0,,28.17,49.03,29.23,13.75
1684,20.0,Female,Undergraduate,4.19,4.04,1.12,3.17,3.68,8.04,8.29,21.0 min,329.0,No,0.0,Good,3.0,1.0,31.07,32.07,32.58,21.97
1685,24.0,Male,Postgraduate,0.0,3.26,2.07,4.9,1.16,8.3,7.52,26.0,343.0,,1.0,Poor,4.0,1.0,16.46,,,
1686,24.0,Male,High School,3.62,4.12,0.96,3.0,1.47,7.79,10.58,62.0,259.0,Yes,1.0,Poor,2.0,,20.09,51.42,25.79,12.83
1687,20.0,Female,Postgraduate,4.59,1.12,0.0,3.51,2.28,6.42,5.91,86.0,99.0,Yes,1.0,Good,5.0,,14.28,60.53,29.62,1.3
1688,18.0,Other,High School,4.9,1.78,2.96,2.74,2.89,6.99,6.2,137.0,76.0,yes,1.0,Poor,1.0,,14.45,62.33,13.24,1.96
1689,,Female,,,0.0,2.28,,0.35,,,116.0 min,,No,,,,,21.91,,,
1690,17.0,Male,Postgraduate,5.61,1.03,2.53,2.13,0.37,7.36,7.76,142.0 min,391.0,Yes,0.0,Average,2.0,,33.32,50.15,31.9,12.77
1691,16.0,Male,High School,3.94,1.93,2.45,3.85,0.94,8.1,4.66,27.0,482.0,Yes,0.0,Average,9.0,,35.05,44.37,45.96,22.98
1692,25.0,Female,Undergraduate,3.79,1.61,0.99,5.49,2.55,5.77,9.31,90.0,431.0,yes,0.0,Poor,5.0,,12.92,58.02,23.07,1.09
1693,17.0,Female,Undergraduate,3.11,4.05,3.49,3.6,2.17,6.68,8.87,100.0,176.0,No,1.0,Poor,4.0,,20.33,47.46,27.27,11.04
1694,21.0,Male,High School,8.55,2.6,3.12,2.59,0.0,8.31,6.99,47.0 min,186.0,yes,0.0,Poor,9.0,0.0,54.71,37.28,91.13,53.9
1695,19.0,Other,Undergraduate,3.07,2.79,3.98,,1.99,7.01,,75.0 min,495.0,No,1.0,Good,1.0,,1.52,43.72,1.0,1.0
1696,25.0,Male,Postgraduate,6.26,2.39,,1.95,0.66,5.86,9.87,91.0,484.0,,,Good,8.0,,40.75,56.21,53.4,41.33
1697,20.0,,,5.51,,,,0.01,,,,,,,Poor,3.0,,,,,12.92
1698,24.0,Male,Undergraduate,2.63,3.69,1.08,3.17,0.86,4.0,1.07,149.0,404.0,no,0.0,Poor,2.0,,21.35,35.72,14.4,7.04
1699,17.0,Female,Undergraduate,3.95,2.98,2.63,5.7,0.86,5.06,5.51,93.0,303.0,No,1.0,Average,6.0,1.0,18.22,59.79,28.98,2.39
1700,25.0,Male,Undergraduate,6.38,3.36,1.88,4.12,3.55,6.01,13.97,76.0,152.0,yes,1.0,Good,5.0,,18.03,70.41,28.24,7.44
1701,23.0,Male,Undergraduate,5.57,2.76,0.95,5.56,0.56,8.38,9.92,31.0,1.0,Yes,0.0,Poor,5.0,,30.06,29.78,36.2,19.91
1702,23.0,Female,Postgraduate,2.5,1.25,2.14,1.05,0.13,8.12,1.68,89.0,50.0,No,0.0,Good,1.0,1.0,25.21,15.74,22.28,20.45
